config,val_mae_mean,train_mae_mean,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization,max_bins,random_state
R114_iter1500_lr0.095_l22.0,1267.2427593482234,1107.0687648457588,30,63,1500,25.0,0.09473684210526316,1.9736842105263157,255,42
R203_iter600_lr0.121_l20.5,1267.2863936761346,1100.6891567331425,30,63,600,25.0,0.12052631578947368,0.5,255,42
R97_iter1500_lr0.080_l21.4,1267.8506479308512,1113.6607252076062,30,63,1500,15.0,0.08,1.4473684210526314,255,42
R197_iter1500_lr0.121_l21.6,1267.9055305554311,1107.3408570536922,40,63,1500,15.0,0.12052631578947368,1.5526315789473684,255,42
R151_iter1000_lr0.124_l22.4,1268.3196533637229,1105.3269356593405,40,63,1000,15.0,0.12421052631578947,2.394736842105263,255,42
R10_iter600_lr0.087_l21.2,1268.321976159857,1118.5773950241423,40,63,600,25.0,0.08736842105263158,1.236842105263158,255,42
R202_iter600_lr0.117_l22.5,1268.4907744394172,1110.1159298582288,30,63,600,15.0,0.11684210526315789,2.5,255,42
R29_iter600_lr0.143_l21.1,1268.761426351101,1093.4572088066657,20,63,600,15.0,0.14263157894736841,1.131578947368421,255,42
R37_iter600_lr0.150_l21.2,1269.3170852803123,1092.2103118935693,20,63,600,10.0,0.15,1.236842105263158,255,42
R99_iter1500_lr0.121_l22.3,1269.5410147396929,1111.5162116608706,40,63,1500,,0.12052631578947368,2.289473684210526,255,42
R42_iter600_lr0.143_l21.0,1269.6522022950421,1107.3384860925833,30,63,600,15.0,0.14263157894736841,1.026315789473684,255,42
R246_iter1000_lr0.139_l20.6,1269.9546795465023,1118.3526455111007,20,31,1000,20.0,0.13894736842105262,0.6052631578947368,255,42
R152_iter1000_lr0.121_l21.0,1270.0387523989161,1099.8943728121144,30,127,1000,10.0,0.12052631578947368,1.026315789473684,255,42
R211_iter800_lr0.135_l20.9,1270.1418677754095,1104.064469259121,30,63,800,15.0,0.13526315789473684,0.9210526315789473,255,42
