config_id,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap,rmse_train_mean,mae_train_mean,r2_train_mean,rmse_mean,mae_mean,r2_mean,combo_score
49,800,4,1,0.3,20.0,False,1847.76148424583,1212.4655849386158,0.963985633900999,2522.0150588888346,1526.339339624607,0.9327920740215645,2024.1771992567208
29,1000,6,1,0.3,20.0,False,1971.3853827479263,1277.71842062013,0.9590060397298588,2545.940731968023,1539.8558565860176,0.931511812641489,2042.8982942770203
19,800,2,2,sqrt,,False,2163.577594138288,1345.7696333517133,0.9506209337400585,2692.0256691563336,1598.946821940747,0.9234407362380945,2145.4862455485404
15,800,4,2,0.3,,False,2163.577594138288,1345.7696333517133,0.9506209337400585,2692.0256691563336,1598.946821940747,0.9234407362380945,2145.4862455485404
71,800,2,2,sqrt,30.0,False,2175.296697457809,1356.2974223080512,0.950083581653553,2696.607618865559,1602.725661380485,0.9231771386881203,2149.666640123022
26,1200,2,2,sqrt,30.0,False,2175.0597739307,1358.053080444256,0.9500956551361295,2696.3110553644883,1604.152035396748,0.9231987419283143,2150.231545380618
70,800,6,2,0.3,,False,2225.1132013291904,1375.1521350137652,0.9477745094605718,2704.121342507494,1604.6488961255936,0.9227522387586207,2154.3851193165438
51,800,6,2,sqrt,,False,2225.113201329191,1375.1521350137652,0.9477745094605718,2704.121342507494,1604.6488961255936,0.9227522387586207,2154.3851193165438
14,1000,2,2,sqrt,30.0,False,2178.344414994005,1360.0782600717382,0.9499438101040987,2698.098050105915,1605.9112848117595,0.9230951808288836,2152.004667458837
65,1000,6,2,0.3,30.0,False,2234.2529602191426,1385.6703574637318,0.9473429897863904,2707.452809210205,1609.7805015656816,0.9225698953254976,2158.6166553879434
22,800,2,2,sqrt,20.0,False,2436.4331030520307,1574.1364272388464,0.9373817161290695,2825.765388878931,1740.4135242130346,0.9156695901237255,2283.089456545983
55,1000,2,3,sqrt,,False,2640.432382417356,1642.4893321626014,0.9264573192322816,2949.593872420996,1782.343530180046,0.9081325082166982,2365.968701300521
77,1000,4,3,sqrt,,False,2640.432382417356,1642.4893321626014,0.9264573192322816,2949.593872420996,1782.343530180046,0.9081325082166982,2365.968701300521
78,1000,2,3,0.3,,False,2640.432382417356,1642.4893321626014,0.9264573192322816,2949.593872420996,1782.343530180046,0.9081325082166982,2365.968701300521
66,1000,6,3,sqrt,,False,2640.432382417356,1642.4893321626014,0.9264573192322816,2949.593872420996,1782.343530180046,0.9081325082166982,2365.968701300521
76,800,2,3,sqrt,30.0,False,2640.6241323933727,1644.1760019903872,0.9264445866980021,2948.483603019452,1782.609966418493,0.9081964560667867,2365.5467847189725
37,1200,4,3,0.3,30.0,False,2642.198247884259,1646.2194172217073,0.9263573774693985,2949.623282740117,1784.3570178513312,0.908123598445276,2366.990150295724
52,1000,4,3,sqrt,20.0,False,2775.160638913764,1767.1554707592554,0.9187587327283767,3035.918238773546,1876.1640088057375,0.9026774897021185,2456.0411237896415
13,1000,2,2,0.7,10.0,False,2882.081950219791,1860.6544953953444,0.9123841665535768,3011.3615926744983,1906.5614257545876,0.9042729587230265,2458.961509214543
9,800,6,1,0.7,10.0,False,2870.476653406311,1861.1872050683123,0.9130881325897675,3007.6814927023343,1908.607048955876,0.9045041424398979,2458.144270829105
74,800,6,1,0.5,10.0,False,3110.5469414139416,2041.7112123845932,0.8979421581132223,3233.045258224981,2083.1556246993177,0.8896764280202715,2658.1004414621493
79,1000,2,2,0.5,10.0,False,3127.11406561921,2049.2115234310963,0.8968523859793542,3244.9562870840455,2089.8983989800063,0.8888711943042961,2667.427343032026
3,800,2,3,0.5,10.0,False,3152.6964301166067,2052.987273141173,0.8951583116756232,3260.999830103652,2090.456346886873,0.8877746907470876,2675.7280884952625
16,1200,2,2,0.5,10.0,False,3129.6516667816777,2050.0046364786695,0.896684593427583,3248.0369863786955,2090.7914221533993,0.8886584122099421,2669.4142042660474
67,1200,4,2,0.5,10.0,False,3129.6516667816777,2050.0046364786695,0.896684593427583,3248.0369863786955,2090.7914221533993,0.8886584122099421,2669.4142042660474
68,1000,4,3,0.5,10.0,False,3153.914091382043,2054.5111417295866,0.8950771578442726,3261.8135465526793,2091.687730726075,0.8877173814802789,2676.750638639377
46,1200,6,1,sqrt,10.0,False,3959.1380230698715,2678.5014606590157,0.8346541962033057,4052.1279790805547,2707.498522644663,0.8267334097171206,3379.8132508626086
38,1200,4,1,0.3,10.0,False,3953.5736918672396,2677.889595280072,0.8351207307035482,4053.8145278445254,2708.2944988090535,0.8265860702245468,3381.0545133267897
80,1200,4,1,sqrt,10.0,False,3953.5736918672396,2677.889595280072,0.8351207307035482,4053.8145278445254,2708.2944988090535,0.8265860702245468,3381.0545133267897
10,1000,4,2,0.3,10.0,False,4036.2938778762395,2729.174335918169,0.8281426900676039,4122.0737911193255,2755.0882747700825,0.8206872591137462,3438.581032944704
69,1200,6,2,0.3,10.0,False,4047.892459512723,2732.9632332343167,0.8271585813839459,4129.462337198577,2758.593453330629,0.8200451186526609,3444.027895264603
11,800,2,3,0.3,10.0,False,4093.9687642806866,2758.386200925577,0.8232060038128571,4168.518960117215,2780.9673815162573,0.8166471266577396,3474.743170816736
31,800,2,3,sqrt,10.0,False,4093.968764280686,2758.386200925577,0.8232060038128571,4168.518960117215,2780.9673815162573,0.8166471266577396,3474.743170816736
8,1000,2,3,0.3,10.0,False,4091.9668181917923,2758.3155882062556,0.8233771664932039,4166.81706954867,2781.02581354547,0.8167941815151147,3473.9214415470697
27,1000,4,3,0.3,10.0,False,4091.9668181917923,2758.3155882062556,0.8233771664932039,4166.81706954867,2781.02581354547,0.8167941815151147,3473.9214415470697
